183,2.29
168,0
46,2.39
39,2.39
934,2.37
56,2.35
242,2.35
22,2.34
19,2.31
172,2.35
90,2.35
68,2.35
439,2.29
93,2.28
15,2.49
62,2.35
504,2.19
13,2.35
171,2.1
107,2.1
15,2.13
278,2.23
103,2.23
171,2.09
186,2.49
65,0
36,0
191,2.49
123,2.49
9,2.49
21,2.49
303,2.19
99,2.49
169,2.39
153,2.29
6,2.37
37,2.29
259,2.32
6,2.25
210,2.13
8,2.17
313,2.29
62,2.13
121,2.16
12,2.14
153,0
13,0
30,2.25
125,2.25
10,2.25
353,2.13
34,2.29
6,2.15
3,2.14
18,2.29
44,2.27
46,2.16
82,2.49
64,2.49
125,2.49
81,2.44
242,2.29
660,2.29
121,2.16
130,2.16
592,2.39
121,2.49
701,2.35
